year,month,region,rainfall,runoff
2033,April,Kagera,2.18,170.047
2033,April,Lake Victoria,1.984,7.527
2033,April,Simiyu,0.147,7.527
2033,April,Victoria Nile,,355.787
2033,Aug.,Kagera,1.655,0.001
2033,Aug.,Lake Victoria,4.516,0.062
2033,Aug.,Simiyu,0.204,0.062
2033,Aug.,Victoria Nile,,516.624
2033,Dec.,Kagera,0.432,30.158
2033,Dec.,Lake Victoria,6.157,5.375
2033,Dec.,Simiyu,4.186,5.375
2033,Dec.,Victoria Nile,,1699.954
2033,Feb.,Kagera,1.59,8.515
2033,Feb.,Lake Victoria,5.544,7.496
2033,Feb.,Simiyu,1.934,7.496
2033,Feb.,Victoria Nile,,438.278
2033,Jan.,Kagera,3.161,2.683
2033,Jan.,Lake Victoria,7.544,9.687
2033,Jan.,Simiyu,1.477,9.687
2033,Jan.,Victoria Nile,,231.945
2033,July,Kagera,0.042,0.006
2033,July,Lake Victoria,1.255,0.078
2033,July,Simiyu,0.247,0.078
2033,July,Victoria Nile,,423.737
2033,June,Kagera,0.129,0.0
2033,June,Lake Victoria,2.002,0.099
2033,June,Simiyu,0.044,0.099
2033,June,Victoria Nile,,345.063
2033,March,Kagera,4.383,77.676
2033,March,Lake Victoria,9.713,62.869
2033,March,Simiyu,3.676,62.869
2033,March,Victoria Nile,,1083.421
2033,May,Kagera,3.98,84.588
2033,May,Lake Victoria,13.805,29.994
2033,May,Simiyu,6.956,29.994
2033,May,Victoria Nile,,4488.343
2033,Nov.,Kagera,0.184,0.377
2033,Nov.,Lake Victoria,0.399,2.148
2033,Nov.,Simiyu,0.154,2.148
2033,Nov.,Victoria Nile,,439.129
2033,Oct.,Kagera,0.945,0.016
2033,Oct.,Lake Victoria,3.045,0.336
2033,Oct.,Simiyu,0.332,0.336
2033,Oct.,Victoria Nile,,611.14
2033,Sept.,Kagera,2.062,0.0
2033,Sept.,Lake Victoria,13.008,0.409
2033,Sept.,Simiyu,0.621,0.409
2033,Sept.,Victoria Nile,,3859.64
2034,April,Kagera,5.827,187.352
2034,April,Lake Victoria,5.73,29.257
2034,April,Simiyu,7.113,29.257
2034,April,Victoria Nile,,513.318
2034,Aug.,Kagera,1.97,78.134
2034,Aug.,Lake Victoria,10.963,28.386
2034,Aug.,Simiyu,1.962,28.386
2034,Aug.,Victoria Nile,,1835.124
2034,Dec.,Kagera,2.528,30.301
2034,Dec.,Lake Victoria,1.182,10.607
2034,Dec.,Simiyu,2.018,10.607
2034,Dec.,Victoria Nile,,265.086
2034,Feb.,Kagera,0.05,0.007
2034,Feb.,Lake Victoria,0.265,0.23
2034,Feb.,Simiyu,0.031,0.23
2034,Feb.,Victoria Nile,,317.417
2034,Jan.,Kagera,1.374,4.765
2034,Jan.,Lake Victoria,5.975,83.105
2034,Jan.,Simiyu,1.896,83.105
2034,Jan.,Victoria Nile,,470.924
2034,July,Kagera,0.124,99.025
2034,July,Lake Victoria,1.917,26.441
2034,July,Simiyu,0.165,26.441
2034,July,Victoria Nile,,776.816
2034,June,Kagera,0.204,125.914
2034,June,Lake Victoria,2.987,33.614
2034,June,Simiyu,0.123,33.614
2034,June,Victoria Nile,,758.382
2034,March,Kagera,6.015,96.365
2034,March,Lake Victoria,15.867,179.717
2034,March,Simiyu,1.896,179.717
2034,March,Victoria Nile,,2530.916
2034,May,Kagera,3.689,445.869
2034,May,Lake Victoria,10.701,98.258
2034,May,Simiyu,0.34,98.258
2034,May,Victoria Nile,,3886.885
2034,Nov.,Kagera,3.988,62.551
2034,Nov.,Lake Victoria,5.783,15.34
2034,Nov.,Simiyu,1.44,15.34
2034,Nov.,Victoria Nile,,440.019
2034,Oct.,Kagera,0.175,47.724
2034,Oct.,Lake Victoria,0.811,16.789
2034,Oct.,Simiyu,0.491,16.789
2034,Oct.,Victoria Nile,,405.034
2034,Sept.,Kagera,0.099,91.138
2034,Sept.,Lake Victoria,3.104,26.732
2034,Sept.,Simiyu,0.095,26.732
2034,Sept.,Victoria Nile,,811.627
2035,April,Kagera,4.511,97.991
2035,April,Lake Victoria,3.096,245.87
2035,April,Simiyu,8.154,245.87
2035,April,Victoria Nile,,217.362
2035,Aug.,Kagera,1.651,8.115
2035,Aug.,Lake Victoria,2.525,1.488
2035,Aug.,Simiyu,0.283,1.488
2035,Aug.,Victoria Nile,,540.193
2035,Dec.,Kagera,3.14,276.526
2035,Dec.,Lake Victoria,11.683,969.972
2035,Dec.,Simiyu,8.143,969.972
2035,Dec.,Victoria Nile,,3909.812
2035,Feb.,Kagera,0.178,17.868
2035,Feb.,Lake Victoria,0.329,6.443
2035,Feb.,Simiyu,0.135,6.443
2035,Feb.,Victoria Nile,,253.952
2035,Jan.,Kagera,0.953,23.208
2035,Jan.,Lake Victoria,1.527,8.31
2035,Jan.,Simiyu,1.583,8.31
2035,Jan.,Victoria Nile,,329.651
2035,July,Kagera,0.324,9.021
2035,July,Lake Victoria,0.828,2.567
2035,July,Simiyu,0.106,2.567
2035,July,Victoria Nile,,707.286
2035,June,Kagera,4.735,49.581
2035,June,Lake Victoria,6.124,5.738
2035,June,Simiyu,3.834,5.738
2035,June,Victoria Nile,,1547.604
2035,March,Kagera,0.602,15.969
2035,March,Lake Victoria,1.688,5.199
2035,March,Simiyu,0.063,5.199
2035,March,Victoria Nile,,203.83
2035,May,Kagera,3.186,373.739
2035,May,Lake Victoria,1.053,32.876
2035,May,Simiyu,0.242,32.876
2035,May,Victoria Nile,,485.727
2035,Nov.,Kagera,2.062,77.4
2035,Nov.,Lake Victoria,5.243,12.265
2035,Nov.,Simiyu,0.317,12.265
2035,Nov.,Victoria Nile,,1747.364
2035,Oct.,Kagera,1.377,20.556
2035,Oct.,Lake Victoria,10.205,2.058
2035,Oct.,Simiyu,4.016,2.058
2035,Oct.,Victoria Nile,,3204.099
2035,Sept.,Kagera,3.839,250.111
2035,Sept.,Lake Victoria,3.825,183.906
2035,Sept.,Simiyu,9.079,183.906
2035,Sept.,Victoria Nile,,1474.566
